"","date","no2","ws","wd","temp"
"89","2013-03-30",40.034389880597,3.92767857142857,45.6485119047619,1.14375
"90","2013-03-31",45.6576547256098,3.18214285714286,75.9776785714286,0.461904761904762
"91","2013-04-01",33.857940516129,5.69136904761905,85.3464285714286,2.69285714285714
"92","2013-04-02",39.3271203225806,5.84761904761905,63.7401785714286,2.95446428571429
"93","2013-04-03",38.6686348387097,6.19494047619048,56.5633928571429,2.1952380952381
"94","2013-04-04",41.7891905211726,NA,NA,NA
"95","2013-04-05",40.6358971290323,6.36,43.6588888888889,3.60694444444444
"96","2013-04-06",51.1982555806452,3.395,54.2775,3.76444444444444
"97","2013-04-07",62.8103045954693,2.80944444444444,131.186944444444,3.42694444444444
"98","2013-04-08",57.718744516129,NA,NA,NA
"99","2013-04-09",62.0366048709677,3.51027777777778,78.9766666666667,5.13305555555556
"100","2013-04-10",53.1843639739414,3.11611111111111,171.967777777778,6.69166666666667
"101","2013-04-11",60.9831336038961,3.11305555555556,167.680833333333,7.52361111111111
"102","2013-04-12",52.6361627181208,4.87222222222222,241.301388888889,8.81527777777778
"103","2013-04-13",40.8323920979021,5.14166666666667,213.923055555556,8.29888888888889
"104","2013-04-14",25.0989882042254,7.17555555555556,219.973888888889,14.1936111111111
"105","2013-04-15",36.9160521785714,5.30333333333333,223.861111111111,11.4880555555556
"106","2013-04-16",35.8928007719298,5.76194444444444,231.610277777778,11.4186111111111
"107","2013-04-17",32.0064258644068,6.24527777777778,212.838611111111,12.6130555555556
"108","2013-04-18",30.9723988196721,7.65916666666667,254.533055555556,10.4833333333333
"109","2013-04-19",47.9963296428571,3.98638888888889,217.879444444444,8.58166666666667
"110","2013-04-20",51.3636150967742,2.20361111111111,107.427222222222,6.065
"111","2013-04-21",44.5216893548387,2.54333333333333,249.983611111111,6.5325
"112","2013-04-22",37.0118242718447,3.86472222222222,246.127222222222,8.80527777777778
"113","2013-04-23",42.2806500653595,3.39972222222222,274.049722222222,12.5033333333333
"114","2013-04-24",41.2722283934426,3.01861111111111,255.308888888889,11.72
"115","2013-04-25",40.7919605825243,3.09583333333333,258.496111111111,12.845
"116","2013-04-26",44.6510921359223,3.83666666666667,330.609166666667,8.77055555555556
"117","2013-04-27",37.7507468387097,3.78111111111111,123.073888888889,5.84833333333333
"118","2013-04-28",36.700509,3.81027777777778,254.764166666667,5.93833333333333
"119","2013-04-29",37.6666003870968,4.28166666666667,292.981111111111,9.94083333333333
"120","2013-04-30",42.3715590645161,3.35527777777778,126.209722222222,8.13138888888889
"121","2013-05-01",45.3772998058252,2.69083333333333,56.3027777777778,8.23833333333333
"122","2013-05-02",55.702716763754,2.86944444444444,76.7641666666667,8.84666666666667
"123","2013-05-03",57.4599760841424,3.22694444444444,274.0225,10.0908333333333
